xrun(64): 22.09-s003: (c) Copyright 1995-2022 Cadence Design Systems, Inc.
TOOL:	xrun(64)	22.09-s003: Started on Nov 27, 2024 at 12:33:13 IST
xrun
	controller1.v
	memory.v
	tb_bist_memory.v
	-access +rwc
	-gui
Recompiling... reason: file './controller1.v' is newer than expected.
	expected: Wed Nov 27 12:29:57 2024
	actual:   Wed Nov 27 12:33:05 2024
file: controller1.v
	module worklib.controller1:v
		errors: 0, warnings: 0
		Caching library 'worklib' ....... Done
	Elaborating the design hierarchy:
	Top level design units:
		tb_bist_memory
	Building instance overlay tables: .................... Done
	Generating native compiled code:
		worklib.tb_bist_memory:v <0x0d1d8358>
			streams:   7, words:  7823
		worklib.controller1:v <0x06b86b99>
			streams:  28, words: 17551
	Building instance specific data structures.
	Loading native compiled code:     .................... Done
	Design hierarchy summary:
		              Instances  Unique
		Modules:              3       3
		Registers:           20      20
		Scalar wires:         5       -
		Vectored wires:       3       -
		Always blocks:        6       6
		Initial blocks:       4       4
		Pseudo assignments:   6       6
	Writing initial simulation snapshot: worklib.tb_bist_memory:v
xmsim: *W,NOMTDGUI: Multi-Threaded Dumping is disabled for interactive debug mode.

-------------------------------------
Relinquished control to SimVision...
xcelium> 
xcelium> source /home/install/XCELIUM2209/tools/xcelium/files/xmsimrc
xcelium> database -open waves -into waves.shm -default
Created default SHM database waves
xcelium> probe -create -shm tb_bist_memory.dut.CA tb_bist_memory.dut.Test tb_bist_memory.dut.clk tb_bist_memory.dut.comp_en tb_bist_memory.dut.count tb_bist_memory.dut.datain tb_bist_memory.dut.dataout tb_bist_memory.dut.element_done tb_bist_memory.dut.element_operation tb_bist_memory.dut.fresh_state tb_bist_memory.dut.nextstate tb_bist_memory.dut.orig tb_bist_memory.dut.re tb_bist_memory.dut.rst tb_bist_memory.dut.state tb_bist_memory.dut.status tb_bist_memory.dut.we
Created probe 1
xcelium> run
Time=0: state=0000, count= 0, CA= x, datain=xxxxxxxx, dataout=xxxxxxxx, status=x
Time=255: state=0001, count= 1, CA= 1, datain=11111111, dataout=11111111, status=0
Time=265: state=0001, count= 1, CA= 1, datain=11111111, dataout=00000000, status=1
Time=275: state=0001, count= 1, CA= 1, datain=11111111, dataout=00000000, status=0
Time=315: state=0001, count= 1, CA= 1, datain=11111111, dataout=11111111, status=1
Time=325: state=0001, count= 1, CA= 1, datain=11111111, dataout=11111111, status=0
Time=335: state=0001, count= 2, CA= 2, datain=11111111, dataout=11111111, status=0
Time=345: state=0001, count= 2, CA= 2, datain=11111111, dataout=00000000, status=1
Time=355: state=0001, count= 2, CA= 2, datain=11111111, dataout=00000000, status=0
Time=395: state=0001, count= 2, CA= 2, datain=11111111, dataout=11111111, status=1
Time=405: state=0001, count= 2, CA= 2, datain=11111111, dataout=11111111, status=0
Time=415: state=0001, count= 3, CA= 3, datain=11111111, dataout=11111111, status=0
Time=425: state=0001, count= 3, CA= 3, datain=11111111, dataout=00000000, status=1
Time=435: state=0001, count= 3, CA= 3, datain=11111111, dataout=00000000, status=0
Time=475: state=0001, count= 3, CA= 3, datain=11111111, dataout=11111111, status=1
Time=485: state=0001, count= 3, CA= 3, datain=11111111, dataout=11111111, status=0
Time=495: state=0001, count= 4, CA= 4, datain=11111111, dataout=11111111, status=0
Time=505: state=0001, count= 4, CA= 4, datain=11111111, dataout=00000000, status=1
Time=515: state=0001, count= 4, CA= 4, datain=11111111, dataout=00000000, status=0
Time=555: state=0001, count= 4, CA= 4, datain=11111111, dataout=11111111, status=1
Time=565: state=0001, count= 4, CA= 4, datain=11111111, dataout=11111111, status=0
Time=575: state=0001, count= 5, CA= 5, datain=11111111, dataout=11111111, status=0
Time=585: state=0001, count= 5, CA= 5, datain=11111111, dataout=00000000, status=1
Time=595: state=0001, count= 5, CA= 5, datain=11111111, dataout=00000000, status=0
Time=635: state=0001, count= 5, CA= 5, datain=11111111, dataout=11111111, status=1
Time=645: state=0001, count= 5, CA= 5, datain=11111111, dataout=11111111, status=0
Time=655: state=0001, count= 6, CA= 6, datain=11111111, dataout=11111111, status=0
Time=665: state=0001, count= 6, CA= 6, datain=11111111, dataout=00000000, status=1
Time=675: state=0001, count= 6, CA= 6, datain=11111111, dataout=00000000, status=0
Time=715: state=0001, count= 6, CA= 6, datain=11111111, dataout=11111111, status=1
Time=725: state=0001, count= 6, CA= 6, datain=11111111, dataout=11111111, status=0
Time=735: state=0001, count= 7, CA= 7, datain=11111111, dataout=11111111, status=0
Time=745: state=0001, count= 7, CA= 7, datain=11111111, dataout=00000000, status=1
Time=755: state=0001, count= 7, CA= 7, datain=11111111, dataout=00000000, status=0
Time=795: state=0001, count= 7, CA= 7, datain=11111111, dataout=11111111, status=1
Time=805: state=0001, count= 7, CA= 7, datain=11111111, dataout=11111111, status=0
Time=815: state=0001, count= 8, CA= 8, datain=11111111, dataout=11111111, status=0
Time=825: state=0001, count= 8, CA= 8, datain=11111111, dataout=00000000, status=1
Time=835: state=0001, count= 8, CA= 8, datain=11111111, dataout=00000000, status=0
Time=875: state=0001, count= 8, CA= 8, datain=11111111, dataout=11111111, status=1
Time=885: state=0001, count= 8, CA= 8, datain=11111111, dataout=11111111, status=0
Time=895: state=0001, count= 9, CA= 9, datain=11111111, dataout=11111111, status=0
Time=905: state=0001, count= 9, CA= 9, datain=11111111, dataout=00000000, status=1
Time=915: state=0001, count= 9, CA= 9, datain=11111111, dataout=00000000, status=0
Time=955: state=0001, count= 9, CA= 9, datain=11111111, dataout=11111111, status=1
Time=965: state=0001, count= 9, CA= 9, datain=11111111, dataout=11111111, status=0
Time=975: state=0001, count=10, CA=10, datain=11111111, dataout=11111111, status=0
Time=985: state=0001, count=10, CA=10, datain=11111111, dataout=00000000, status=1
Time=995: state=0001, count=10, CA=10, datain=11111111, dataout=00000000, status=0
Time=1035: state=0001, count=10, CA=10, datain=11111111, dataout=11111111, status=1
Time=1045: state=0001, count=10, CA=10, datain=11111111, dataout=11111111, status=0
Time=1055: state=0001, count=11, CA=11, datain=11111111, dataout=11111111, status=0
Time=1065: state=0001, count=11, CA=11, datain=11111111, dataout=00000000, status=1
Time=1075: state=0001, count=11, CA=11, datain=11111111, dataout=00000000, status=0
Time=1115: state=0001, count=11, CA=11, datain=11111111, dataout=11111111, status=1
Time=1125: state=0001, count=11, CA=11, datain=11111111, dataout=11111111, status=0
Time=1135: state=0001, count=12, CA=12, datain=11111111, dataout=11111111, status=0
Time=1145: state=0001, count=12, CA=12, datain=11111111, dataout=00000000, status=1
Time=1155: state=0001, count=12, CA=12, datain=11111111, dataout=00000000, status=0
Time=1195: state=0001, count=12, CA=12, datain=11111111, dataout=11111111, status=1
Time=1205: state=0001, count=12, CA=12, datain=11111111, dataout=11111111, status=0
Time=1215: state=0001, count=13, CA=13, datain=11111111, dataout=11111111, status=0
Time=1225: state=0001, count=13, CA=13, datain=11111111, dataout=00000000, status=1
Time=1235: state=0001, count=13, CA=13, datain=11111111, dataout=00000000, status=0
Time=1275: state=0001, count=13, CA=13, datain=11111111, dataout=11111111, status=1
Time=1285: state=0001, count=13, CA=13, datain=11111111, dataout=11111111, status=0
Time=1295: state=0001, count=14, CA=14, datain=11111111, dataout=11111111, status=0
Time=1305: state=0001, count=14, CA=14, datain=11111111, dataout=00000000, status=1
Time=1315: state=0001, count=14, CA=14, datain=11111111, dataout=00000000, status=0
Time=1355: state=0001, count=14, CA=14, datain=11111111, dataout=11111111, status=1
Time=1365: state=0001, count=14, CA=14, datain=11111111, dataout=11111111, status=0
Time=1375: state=0001, count=15, CA=15, datain=11111111, dataout=11111111, status=0
Time=1385: state=0001, count=15, CA=15, datain=11111111, dataout=00000000, status=1
Time=1395: state=0001, count=15, CA=15, datain=11111111, dataout=00000000, status=0
Time=1435: state=0001, count=15, CA=15, datain=11111111, dataout=11111111, status=1
Time=1445: state=0001, count=15, CA=15, datain=11111111, dataout=11111111, status=0
Time=1455: state=0001, count=16, CA= 0, datain=11111111, dataout=11111111, status=0
Time=1465: state=0010, count= 0, CA= 0, datain=11111111, dataout=11111111, status=1
Time=1475: state=0010, count= 0, CA=15, datain=11111111, dataout=11111111, status=0
Time=1495: state=0010, count= 0, CA=15, datain=00000000, dataout=11111111, status=0
Time=1515: state=0010, count= 0, CA=15, datain=00000000, dataout=11111111, status=1
Time=1525: state=0010, count= 0, CA=15, datain=00000000, dataout=00000000, status=0
Time=1545: state=0010, count= 1, CA=14, datain=00000000, dataout=00000000, status=0
Time=1555: state=0010, count= 1, CA=14, datain=00000000, dataout=11111111, status=0
Time=1595: state=0010, count= 1, CA=14, datain=00000000, dataout=11111111, status=1
Time=1605: state=0010, count= 1, CA=14, datain=00000000, dataout=00000000, status=0
Time=1625: state=0010, count= 2, CA=13, datain=00000000, dataout=00000000, status=0
Time=1635: state=0010, count= 2, CA=13, datain=00000000, dataout=11111111, status=0
Time=1675: state=0010, count= 2, CA=13, datain=00000000, dataout=11111111, status=1
Time=1685: state=0010, count= 2, CA=13, datain=00000000, dataout=00000000, status=0
Time=1705: state=0010, count= 3, CA=12, datain=00000000, dataout=00000000, status=0
Time=1715: state=0010, count= 3, CA=12, datain=00000000, dataout=11111111, status=0
Time=1755: state=0010, count= 3, CA=12, datain=00000000, dataout=11111111, status=1
Time=1765: state=0010, count= 3, CA=12, datain=00000000, dataout=00000000, status=0
Time=1785: state=0010, count= 4, CA=11, datain=00000000, dataout=00000000, status=0
Time=1795: state=0010, count= 4, CA=11, datain=00000000, dataout=11111111, status=0
Time=1835: state=0010, count= 4, CA=11, datain=00000000, dataout=11111111, status=1
Time=1845: state=0010, count= 4, CA=11, datain=00000000, dataout=00000000, status=0
Time=1865: state=0010, count= 5, CA=10, datain=00000000, dataout=00000000, status=0
Time=1875: state=0010, count= 5, CA=10, datain=00000000, dataout=11111111, status=0
Time=1915: state=0010, count= 5, CA=10, datain=00000000, dataout=11111111, status=1
Time=1925: state=0010, count= 5, CA=10, datain=00000000, dataout=00000000, status=0
Time=1945: state=0010, count= 6, CA= 9, datain=00000000, dataout=00000000, status=0
Time=1955: state=0010, count= 6, CA= 9, datain=00000000, dataout=11111111, status=0
Time=1995: state=0010, count= 6, CA= 9, datain=00000000, dataout=11111111, status=1
Time=2005: state=0010, count= 6, CA= 9, datain=00000000, dataout=00000000, status=0
Time=2025: state=0010, count= 7, CA= 8, datain=00000000, dataout=00000000, status=0
Time=2035: state=0010, count= 7, CA= 8, datain=00000000, dataout=11111111, status=0
Time=2075: state=0010, count= 7, CA= 8, datain=00000000, dataout=11111111, status=1
Time=2085: state=0010, count= 7, CA= 8, datain=00000000, dataout=00000000, status=0
Time=2105: state=0010, count= 8, CA= 7, datain=00000000, dataout=00000000, status=0
Time=2115: state=0010, count= 8, CA= 7, datain=00000000, dataout=11111111, status=0
Time=2155: state=0010, count= 8, CA= 7, datain=00000000, dataout=11111111, status=1
Time=2165: state=0010, count= 8, CA= 7, datain=00000000, dataout=00000000, status=0
Time=2185: state=0010, count= 9, CA= 6, datain=00000000, dataout=00000000, status=0
Time=2195: state=0010, count= 9, CA= 6, datain=00000000, dataout=11111111, status=0
Time=2235: state=0010, count= 9, CA= 6, datain=00000000, dataout=11111111, status=1
Time=2245: state=0010, count= 9, CA= 6, datain=00000000, dataout=00000000, status=0
Time=2265: state=0010, count=10, CA= 5, datain=00000000, dataout=00000000, status=0
Time=2275: state=0010, count=10, CA= 5, datain=00000000, dataout=11111111, status=0
Time=2315: state=0010, count=10, CA= 5, datain=00000000, dataout=11111111, status=1
Time=2325: state=0010, count=10, CA= 5, datain=00000000, dataout=00000000, status=0
Time=2345: state=0010, count=11, CA= 4, datain=00000000, dataout=00000000, status=0
Time=2355: state=0010, count=11, CA= 4, datain=00000000, dataout=11111111, status=0
Time=2395: state=0010, count=11, CA= 4, datain=00000000, dataout=11111111, status=1
Time=2405: state=0010, count=11, CA= 4, datain=00000000, dataout=00000000, status=0
Time=2425: state=0010, count=12, CA= 3, datain=00000000, dataout=00000000, status=0
Time=2435: state=0010, count=12, CA= 3, datain=00000000, dataout=11111111, status=0
Time=2475: state=0010, count=12, CA= 3, datain=00000000, dataout=11111111, status=1
Time=2485: state=0010, count=12, CA= 3, datain=00000000, dataout=00000000, status=0
Time=2505: state=0010, count=13, CA= 2, datain=00000000, dataout=00000000, status=0
Time=2515: state=0010, count=13, CA= 2, datain=00000000, dataout=11111111, status=0
Time=2555: state=0010, count=13, CA= 2, datain=00000000, dataout=11111111, status=1
Time=2565: state=0010, count=13, CA= 2, datain=00000000, dataout=00000000, status=0
Time=2585: state=0010, count=14, CA= 1, datain=00000000, dataout=00000000, status=0
Time=2595: state=0010, count=14, CA= 1, datain=00000000, dataout=11111111, status=0
Time=2635: state=0010, count=14, CA= 1, datain=00000000, dataout=11111111, status=1
Time=2645: state=0010, count=14, CA= 1, datain=00000000, dataout=00000000, status=0
Time=2665: state=0010, count=15, CA= 0, datain=00000000, dataout=00000000, status=0
Time=2675: state=0010, count=15, CA= 0, datain=00000000, dataout=11111111, status=0
Time=2715: state=0010, count=15, CA= 0, datain=00000000, dataout=11111111, status=1
Time=2725: state=0010, count=15, CA= 0, datain=00000000, dataout=00000000, status=0
Time=2745: state=0010, count=16, CA=15, datain=00000000, dataout=00000000, status=0
Time=2755: state=0011, count= 0, CA=15, datain=00000000, dataout=00000000, status=0
Time=2765: state=0011, count= 0, CA= 0, datain=00000000, dataout=00000000, status=0
Time=2775: state=0011, count= 1, CA= 1, datain=00000000, dataout=00000000, status=0
Time=2785: state=0011, count= 2, CA= 2, datain=00000000, dataout=00000000, status=0
Time=2795: state=0011, count= 3, CA= 3, datain=00000000, dataout=00000000, status=0
Time=2805: state=0011, count= 4, CA= 4, datain=00000000, dataout=00000000, status=0
Time=2815: state=0011, count= 5, CA= 5, datain=00000000, dataout=00000000, status=0
Time=2825: state=0011, count= 6, CA= 6, datain=00000000, dataout=00000000, status=0
Time=2835: state=0011, count= 7, CA= 7, datain=00000000, dataout=00000000, status=0
Time=2845: state=0011, count= 8, CA= 8, datain=00000000, dataout=00000000, status=0
Time=2855: state=0011, count= 9, CA= 9, datain=00000000, dataout=00000000, status=0
Time=2865: state=0011, count=10, CA=10, datain=00000000, dataout=00000000, status=0
Time=2875: state=0011, count=11, CA=11, datain=00000000, dataout=00000000, status=0
Time=2885: state=0011, count=12, CA=12, datain=00000000, dataout=00000000, status=0
Time=2895: state=0011, count=13, CA=13, datain=00000000, dataout=00000000, status=0
Time=2905: state=0011, count=14, CA=14, datain=00000000, dataout=00000000, status=0
Time=2915: state=0011, count=15, CA=15, datain=00000000, dataout=00000000, status=0
Time=2925: state=0011, count=16, CA= 0, datain=00000000, dataout=00000000, status=0
Test PASSED with status: 0
Simulation complete via $finish(1) at time 2935 NS + 2
./tb_bist_memory.v:53         $finish;
xcelium> ^C
xcelium> exit
...Regained control from SimVision
-------------------------------------
TOOL:	xrun(64)	22.09-s003: Exiting on Nov 27, 2024 at 12:34:09 IST  (total: 00:00:56)
